qGENDER,qAGECODE,qRACECODE,qEDUCATION,qINCOME,qSURVEYZONE,qZIPHOME,qBOROUGH,qLICENSE,qCARACCESS,qSMARTPHONE,qTRIPPLANAPP,qCITIBIKE,gFREIGHT1b_qFREIGHT1_mA,gFREIGHT1b_qFREIGHT2_mA,gFREIGHT1b_qFREIGHT3_mA,gFREIGHT1b_qFREIGHT4_mA,qAUTOVEHICLEFAM,qAUTOVEHICLEWILL,qAUTOVEHICLESAFE,qMARRIED,qBUILDINGb,qRENT,qCHILDREN,qEMPLOYMENT,qEMPLOYMENTCODE,qINDUSTRY,qWORKLOCATION,qWORKFH,Walk,Train/Subway,Bus,Ferry,Access-A-Ride,Membership_CarSharing,Disability_Hearing,Disability_Seeing,Disability_Walking,Disability_DailyActivity,Disability_Mental,Welfare,Freight_Usage
Female,35-44,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,11372.0,Queens,Yes,Yes,Yes,Daily,No,Less than a few times,Several times a week,Less than a few times,Several times a week,Somewhat familiar,Not very willing,Neither more nor less safe than standard vehicles,Single,A building with 2 to 9 apartments,Own,None,Employed full time (working more than 30 hours per week),Employed,Non-profit,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Male,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Outer Brooklyn,11235.0,Brooklyn,Yes,No,Yes,Several times a week,No,A few times a year,A few times a month,A few times a month,A few times a month,Somewhat familiar,Not very willing,Somewhat less safe than standard vehicles,Married,A building with 50 or more apartments,Own,None,Employed full time (working more than 30 hours per week),Employed,Education,At a school or day care facility,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,Several times a week
Male,35-44,"Black, Non-Hispanic","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Southern Bronx,10467.0,The Bronx,No,No,Yes,Daily,No,Less than a few times,A few times a month,Less than a few times,A few times a year,Not very familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,One,Employed full time (working more than 30 hours per week),Employed,Retail,"At a store, restaurant, or hotel","No, do not work from home",Yes,Yes,No,No,No,Yes,No,No,No,No,No,NYCHA Tenant/Section8 Recipent,A few times a month
Female,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,10039.0,Manhattan,Yes,Yes,Yes,Daily,No,A few times a month,A few times a year,A few times a month,A few times a year,Not very familiar,Somewhat willing,Somewhat safer than standard vehicles,Living in a committed partnership,A building with 50 or more apartments,Rent,None,Employed part time (working less than 30 hours per week),Employed,Arts & Entertainment,Varying job sites,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,10033.0,Manhattan,Yes,No,Yes,A few times a year,No,Less than a few times,A few times a month,Less than a few times,Less than a few times,Not very familiar,Not at all willing,Much less safe than standard vehicles,Married,A building with 10 to 49 apartments,Own,None,Employed full time (working more than 30 hours per week),Employed,Arts & Entertainment,Other,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Male,55-64,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Queens,11372.0,Queens,No,No,Yes,Less than a few times a year,No,A few times a month,Several times a week,Several times a week,A few times a year,Not very familiar,Not at all willing,Much less safe than standard vehicles,Married,A building with 50 or more apartments,Own,None,Employed part time (working less than 30 hours per week),Employed,Education,At a school or day care facility,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,10312.0,Staten Island,Yes,Yes,Yes,Several times a week,No,Less than a few times,Several times a week,Less than a few times,A few times a year,Not very familiar,Not very willing,Much less safe than standard vehicles,Married,A one family house attached to one or more houses,Own,One,Employed full time (working more than 30 hours per week),Employed,Other,At an office,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,35-44,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,10035.0,Manhattan,No,No,Yes,Several times a week,No,Less than a few times,A few times a month,A few times a month,A few times a year,Somewhat familiar,Very willing,Somewhat safer than standard vehicles,Divorced,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,11106.0,Queens,Yes,No,Yes,A few times a year,No,A few times a month,Less than a few times,Less than a few times,Several times a week,Not very familiar,Somewhat willing,Somewhat less safe than standard vehicles,Married,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Education,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,25-34,"White, Non-Hispanic",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Manhattan,10027.0,Manhattan,Yes,Yes,Yes,Daily,No,Less than a few times,Several times a week,Less than a few times,Several times a week,Not at all familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed part time (working less than 30 hours per week),Employed,Hospitality,"At a store, restaurant, or hotel","No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Male,55-64,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,10466.0,The Bronx,Yes,Yes,Yes,A few times a month,No,Less than a few times,A few times a month,Less than a few times,A few times a year,Somewhat familiar,Very willing,Much safer than standard vehicles,Single,A one family house detached from any other house,Own,None,Employed full time (working more than 30 hours per week),Employed,Transportation and Utilities,At an office,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,10032.0,Manhattan,Yes,No,Yes,Several times a week,Yes,Less than a few times,Several times a week,Less than a few times,A few times a year,Somewhat familiar,Somewhat willing,Somewhat safer than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Arts & Entertainment,"At a stadium, concert hall, or event space","No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,45-54,Hispanic,Some college but degree not received or in progress,"$75,000 - $99,999",Southern Bronx,10458.0,The Bronx,Yes,Yes,Yes,A few times a year,No,Not applied,A few times a month,Not applied,Not applied,Somewhat familiar,Very willing,Somewhat less safe than standard vehicles,Living in a committed partnership,A building with 10 to 49 apartments,Rent,One,Employed full time (working more than 30 hours per week),Employed,Other,"At a store, restaurant, or hotel","No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,Several times a week
Male,55-64,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,10040.0,Manhattan,Yes,Yes,Yes,Daily,No,A few times a month,Several times a week,A few times a month,A few times a month,Not very familiar,Very willing,Somewhat safer than standard vehicles,Married,A building with 50 or more apartments,Rent,Two,Employed full time (working more than 30 hours per week),Employed,Technology & Telecommunications,At an office,"No, do not work from home",Yes,No,No,No,No,No,No,No,No,No,No,No,Several times a week
Female,35-44,Hispanic,"Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Southern Bronx,10458.0,The Bronx,No,No,Yes,Daily,No,Several times a week,Less than a few times,A few times a month,A few times a year,Not very familiar,Not very willing,Somewhat less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Education,At a school or day care facility,"No, do not work from home",No,Yes,Yes,No,No,No,No,No,No,No,No,No,A few times a month
Female,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Manhattan Core,10022.0,Manhattan,Yes,No,Yes,Once a week,No,Less than a few times,A few times a month,Several times a week,Several times a week,Not very familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Arts & Entertainment,At an office,"No, do not work from home",No,No,Yes,No,No,Yes,No,No,No,No,No,No,A few times a month
